id,first_name,last_name,email_address,created_at,deleted_at,merged_at,parent_user_id
8,Hanah,Schmidt,Hanah_Schmidt1965@gmail.edu,1361218223000,-1,-1,-1
31,Emily,Tamm,EmilyTamm@gmail.edu,1361367320000,-1,-1,-1
13,Grace,Taylor,GraceTaylor1951@inbox.edu,1361459822000,-1,1463850102000,118437
27,Sash,Murphy,Sarah_Murphy@outlook.org,1361533474000,-1,-1,-1
10,Sonya,Chen,SonyaChen@outlook.biz,1361620286000,-1,1487304060000,167616
69,Wat,Petrov,Mosi_Petrov1985@earthlink.info,1361748378000,1375731962000,-1,-1
35,R,Gupta,RGupta@earthlink.net,1361856333000,-1,-1,-1
45,Irene,Fourie,IreneFourie@gmail.edu,1361913408000,-1,1426143927000,46419
9,Aanya,Lee,AanyaLee@gmail.info,1362000497000,-1,-1,-1
21,Lucas,Murphy,Lucas_Murphy1957@gmail.org,1362135198000,-1,-1,-1
87,J,Rossi,JRossi1960@inbox.com,1362156351000,-1,-1,-1
106,A,Chen,AChen1958@gmail.edu,1362168568000,-1,-1,-1
54,Claire,Gonzalez,ClaireGonzalez1959@outlook.info,1362180134000,-1,-1,-1
62,Janelle,Dubois,JanelleDubois@gmail.biz,1362248612000,-1,-1,-1
17,Youseff,Powell,YouseffPowell@yahoo.com,1362271362000,-1,-1,-1
94,Aya,Kowalski,AyaKowalski@earthlink.com,1362274791000,-1,-1,-1
51,Nalah,Freeman,Nalah_Freeman@earthlink.net,1362301137000,-1,-1,-1
4,L,Murphy,LMurphy1964@earthlink.com,1362348409000,-1,-1,-1
55,Zeke,Khan,ZekeKhan2001@gmail.info,1362446629000,-1,-1,-1
153,Omar,Fourie,Omar_Fourie1992@yahoo.com,1362504631000,-1,-1,-1
124,Data,Sokolov,DataSokolov1995@gmail.edu,1362524815000,-1,-1,-1
25,Logan,Petrov,LoganPetrov@earthlink.org,1362578466000,-1,-1,-1
41,Mohamed,Gupta,Mohamed_Gupta1970@inbox.info,1362604635000,-1,-1,-1
52,Hosna,Costa,Hosna_Costa@inbox.net,1362632584000,-1,-1,-1
34,Lisa,Petrov,Lisa_Petrov@gmail.org,1362672692000,-1,-1,-1
65,Ruth,Miller,Ruth_Miller@earthlink.edu,1362700517000,-1,-1,-1
30,K,Powell,K_Powell1990@earthlink.com,1362720162000,-1,-1,-1
12,Data,Mueller,Data_Mueller2004@gmail.org,1362722023000,-1,-1,-1
119,Peter,Horvat,PeterHorvat@mail.org,1362730470000,-1,-1,-1
46,Ji-woo,Dhawan,Ji-woo_Dhawan@gmail.info,1362757410000,-1,-1,-1
100,L,Russell,L_Russell1959@inbox.com,1362782566000,-1,-1,-1
145,Isabella,Hassan,Isabella_Hassan@outlook.info,1362812258000,-1,-1,-1
125,John,Sousa,John_Sousa@outlook.com,1362842854000,-1,-1,-1
26,R,Martin,RMartin1966@outlook.edu,1362848797000,-1,-1,-1
24,Diego,Huang,DiegoHuang@gmail.biz,1362853177000,-1,-1,-1
101,Camila,Smith,Camila_Smith1966@mail.info,1362864665000,-1,-1,-1
134,G,Dhawan,G_Dhawan@gmail.edu,1362868322000,-1,-1,-1
23,Mateo,Russell,Mateo_Russell1969@inbox.com,1362872838000,-1,-1,-1
200,Alonso,Chen,AlonsoChen@outlook.com,1362912821000,-1,-1,-1
103,Bekim,Martin,BekimMartin2001@yahoo.edu,1362915252000,-1,1451598940000,85423
57,Sora,Khan,SoraKhan1995@outlook.info,1362918799000,-1,-1,-1
76,Marina,Taylor,MarinaTaylor@gmail.info,1362939698000,-1,-1,-1
97,Rodrigo,Kumar,Rodrigo_Kumar@mail.org,1363010056000,-1,-1,-1
66,Fatima,Hassan,Fatima_Hassan@earthlink.biz,1363013037000,-1,-1,-1
75,Peter,Liu,Peter_Liu2004@gmail.com,1363041065000,-1,-1,-1
50,A,Martin,A_Martin2004@gmail.info,1363048267000,-1,-1,-1
121,John,Korhonen,JohnKorhonen@earthlink.org,1363065792000,-1,-1,-1
91,S,Gupta,S_Gupta@outlook.biz,1363074153000,-1,-1,-1
160,Emily,Lewis,Emily_Lewis@yahoo.info,1363085466000,-1,-1,-1
223,Halim,Weber,Halim_Weber1984@gmail.net,1363086158000,-1,-1,-1
108,Lisa,Mueller,Lisa_Mueller2004@gmail.com,1363094354000,-1,-1,-1
63,S,Gonzalez,S_Gonzalez@mail.com,1363098866000,-1,-1,-1
258,Haruta,Martin,Haruta_Martin@outlook.com,1363099041000,-1,-1,-1
198,Nathan,Anand,NathanAnand1981@earthlink.biz,1363100342000,1376252832000,-1,-1
47,A,Kim,A_Kim1961@mail.com,1363126044000,-1,-1,-1
129,Alonso,Freeman,Alonso_Freeman1988@gmail.biz,1363129721000,-1,-1,-1
211,Hanah,Martin,HanahMartin1971@yahoo.edu,1363149020000,-1,-1,-1
233,Mia,Miller,Mia_Miller1954@inbox.info,1363194462000,-1,-1,-1
116,Amaira,Castillo,AmairaCastillo@gmail.org,1363201406000,-1,-1,-1
